model,tp,fn,tn,fp,sens,sens_lo,sens_hi,spec,spec_lo,spec_hi,ppv,npv,lr_pos,lr_neg,ppv_pop,ppv_pop_lo,mcnemar_b,mcnemar_c,mcnemar_p
Logistic Regression,145,0,66,0,1.0,0.9741900113946637,0.9999999999999999,1.0,0.9449955327483907,1.0,1.0,1.0,inf,0.0,1.0,0.3539075860871136,0,0,1.0
SVM (RBF),145,0,66,0,1.0,0.9741900113946637,0.9999999999999999,1.0,0.9449955327483907,1.0,1.0,1.0,inf,0.0,1.0,0.3539075860871136,0,0,1.0
KNN,142,3,61,5,0.9793103448275862,0.9409394849215631,0.9929392156567698,0.9242424242424242,0.834605945487485,0.9672084459353918,0.9659863945578231,0.953125,12.92689655172413,0.022385528547201855,0.2856127020245628,0.14962430876047791,8,0,0.0078125
Decision Tree,134,11,49,17,0.9241379310344827,0.8692671612879235,0.9571147104468603,0.7424242424242424,0.6256667257006108,0.8325129265410331,0.8874172185430463,0.8166666666666667,3.5878296146044626,0.1021815622800845,0.099880664214699,0.06700737020971634,28,0,7.450580596923828e-09
Random Forest,145,0,59,7,1.0,0.9741900113946637,0.9999999999999999,0.8939393939393939,0.7968747426118539,0.9476671922808175,0.9539473684210527,1.0,9.428571428571427,0.0,0.22576966932725198,0.12917025553556932,7,0,0.015625
Gradient Boosting,145,0,61,5,1.0,0.9741900113946637,0.9999999999999999,0.9242424242424242,0.834605945487485,0.9672084459353918,0.9666666666666667,1.0,13.199999999999992,0.0,0.2898975109809662,0.1540969040725328,5,0,0.0625
Naive Bayes,143,2,51,15,0.9862068965517241,0.9511064772560722,0.9962093269277041,0.7727272727272727,0.6583031596442961,0.8571489491275532,0.9050632911392406,0.9622641509433962,4.339310344827585,0.01784989858012174,0.11832553941050361,0.07926346830236865,17,0,1.52587890625e-05
1D CNN,143,2,66,0,0.9862068965517241,0.9511064772560722,0.9962093269277041,1.0,0.9449955327483907,1.0,1.0,0.9705882352941176,inf,0.01379310344827589,1.0,0.34844371506579636,2,0,0.5
